nombre,codigo,carrera,semestre,seccion,tipo
Sistemas Operativos,19723,Ingenieria Civil,5,F,opcional
Ingeniería de Software II,23149,Ingenieria Mecanica,7,A,obligatorio
Circuitos Eléctricos,26492,Ingenieria en Sistemas,10,D,opcional
Resistencia de Materiales,31861,Ingenieria en Sistemas,7,E,obligatorio
Robótica,53844,Ingenieria Mecanica,4,B,obligatorio
Termodinámica,19361,Ingenieria Industrial,5,B,obligatorio
Bases de Datos I,12500,Ingenieria Industrial,4,A,obligatorio
Termodinámica,19361,Ingenieria Industrial,8,D,opcional
Bases de Datos II,20449,Ingenieria Industrial,1,F,obligatorio
Fundamentos de Programación,89169,Ingenieria Industrial,10,B,opcional
Electrónica Analógica,87853,Ingenieria Industrial,10,F,obligatorio
Resistencia de Materiales,31861,Ingenieria en Sistemas,4,E,obligatorio
Simulación de Sistemas,17500,Ingenieria Mecanica,2,A,obligatorio
Simulación de Sistemas,17500,Ingenieria Mecanica,10,B,obligatorio
Matemática Discreta,37902,Ingenieria Mecanica,1,A,obligatorio
Ecuaciones Diferenciales,20748,Ingenieria Industrial,2,E,opcional
Mecánica de Materiales,55003,Ingenieria Industrial,9,D,opcional
Química para Ingenieros,34263,Ingenieria Mecanica,4,B,obligatorio
Ingeniería de Métodos,62575,Ingenieria Mecanica,2,D,opcional
Redes de Computadoras,98684,Ingenieria Mecanica,2,F,opcional
Estructuras de Datos,86647,Ingenieria Mecanica,7,E,obligatorio
Simulación de Sistemas,17500,Ingenieria Mecanica,8,E,obligatorio
Ingeniería de Métodos,62575,Ingenieria en Sistemas,6,F,obligatorio
Ética Profesional,49288,Ingenieria Civil,1,E,opcional
Redes de Computadoras,98684,Ingenieria en Sistemas,3,B,opcional
Ecuaciones Diferenciales,20748,Ingenieria en Sistemas,6,F,obligatorio
Mecánica de Materiales,55003,Ingenieria Mecanica,6,F,obligatorio
Inteligencia Artificial,19404,Ingenieria Mecanica,8,E,opcional
Física General I,40056,Ingenieria Industrial,10,E,opcional
Topografía,30855,Ingenieria Civil,10,A,obligatorio
Análisis Numérico,14966,Ingenieria Civil,10,B,obligatorio
Bases de Datos I,12500,Ingenieria en Sistemas,6,C,obligatorio
Matemática Discreta,37902,Ingenieria Civil,2,D,opcional
Inteligencia Artificial,19404,Ingenieria Civil,10,F,obligatorio
Análisis Numérico,14966,Ingenieria Mecanica,3,B,opcional
Cálculo Integral,61683,Ingenieria Civil,1,E,opcional
Ecuaciones Diferenciales,20748,Ingenieria en Sistemas,7,C,opcional
Electrónica Digital,19362,Ingenieria Civil,10,A,obligatorio
Diseño de Máquinas,52361,Ingenieria Industrial,4,A,opcional
Matemática Discreta,37902,Ingenieria Civil,3,F,obligatorio
Mecánica Clásica,74572,Ingenieria Mecanica,6,D,opcional
Análisis Numérico,14966,Ingenieria Mecanica,3,A,opcional
Ecuaciones Diferenciales,20748,Ingenieria en Sistemas,6,E,opcional
Ingeniería de Métodos,62575,Ingenieria Mecanica,10,E,opcional
Ingeniería de Software I,33611,Ingenieria Industrial,7,F,obligatorio
Simulación de Sistemas,17500,Ingenieria Civil,1,A,opcional
Ingeniería de Métodos,62575,Ingenieria Civil,1,C,opcional
Gestión de Proyectos,17385,Ingenieria Mecanica,2,D,opcional
Sistemas de Control,98620,Ingenieria Industrial,9,C,opcional
Ingeniería de Software II,23149,Ingenieria Mecanica,5,D,opcional
Simulación de Sistemas,17500,Ingenieria en Sistemas,6,A,obligatorio
Hidráulica,32549,Ingenieria Mecanica,5,E,obligatorio
Matemática Discreta,37902,Ingenieria Civil,10,D,obligatorio
Mecánica de Materiales,55003,Ingenieria en Sistemas,7,F,opcional
Ingeniería de Software II,23149,Ingenieria Mecanica,5,F,opcional
Gestión de Proyectos,17385,Ingenieria Civil,2,D,opcional
Cálculo Integral,61683,Ingenieria en Sistemas,3,F,obligatorio
Bases de Datos I,12500,Ingenieria Mecanica,10,B,opcional
Inteligencia Artificial,19404,Ingenieria Mecanica,5,A,obligatorio
Ecuaciones Diferenciales,20748,Ingenieria Industrial,5,A,opcional
Termodinámica,19361,Ingenieria Mecanica,9,F,opcional
Física General II,41727,Ingenieria Mecanica,9,A,obligatorio
Cálculo Integral,61683,Ingenieria Mecanica,5,F,obligatorio
Bases de Datos II,20449,Ingenieria Civil,3,B,obligatorio
Redes de Computadoras,98684,Ingenieria Industrial,4,D,opcional
Mecánica Clásica,74572,Ingenieria Industrial,4,B,obligatorio
Física General I,40056,Ingenieria en Sistemas,4,A,obligatorio
Resistencia de Materiales,31861,Ingenieria Civil,2,C,opcional
Química para Ingenieros,34263,Ingenieria en Sistemas,5,C,opcional
Topografía,30855,Ingenieria Mecanica,7,C,opcional
Automatización Industrial,20450,Ingenieria Mecanica,4,C,obligatorio
Circuitos Eléctricos,26492,Ingenieria en Sistemas,6,F,obligatorio
Electrónica Digital,19362,Ingenieria Civil,1,B,opcional
Gestión de Proyectos,17385,Ingenieria en Sistemas,5,F,obligatorio
Robótica,53844,Ingenieria en Sistemas,7,A,obligatorio
Hidráulica,32549,Ingenieria en Sistemas,10,E,obligatorio
Ingeniería Económica,31946,Ingenieria Mecanica,3,F,opcional
Física General I,40056,Ingenieria Mecanica,4,E,obligatorio
Bases de Datos I,12500,Ingenieria en Sistemas,4,B,obligatorio
